Sample	Mut_Rate	Fitness	Nodes	Leaves	Tree_Score
Clonal_evolution_10699540.dat	0.000001	0.005000	1	1	0.000000
Clonal_evolution_10700321.dat	0.000007000000	0.000900000000	2	1	0.000000
Clonal_evolution_10703601.dat	0.000010000000	0.100000000000	1	1	0.000000
Clonal_evolution_10709244.dat	0.000010000000	0.000800000000	1	1	0.000000
Clonal_evolution_10712916.dat	0.000000800000	0.000200000000	1	1	0.000000
Clonal_evolution_10715421.dat	0.000000100000	0.000100000000	1	1	0.000000
Clonal_evolution_10716494.dat	0.000000800000	0.001000000000	1	1	0.000000
Clonal_evolution_10717886.dat	0.000400000000	0.009000000000	11	9	0.888889
Clonal_evolution_10722111.dat	0.000080000000	0.900000000000	1	1	0.000000
Clonal_evolution_10723122.dat	0.000004000000	0.000300000000	3	2	0.500000
Clonal_evolution_10724848.dat	0.000000600000	0.050000000000	1	1	0.000000
Clonal_evolution_10725505.dat	0.000030000000	0.009000000000	4	2	0.500000
Clonal_evolution_1072578.dat	0.000008000000	0.000800	4	3	0.666667
Clonal_evolution_10726190.dat	0.000000400000	0.000500000000	1	1	0.000000
Clonal_evolution_10731377.dat	0.000000200000	0.050000000000	1	1	0.000000
Clonal_evolution_10733675.dat	0.000070000000	0.003000000000	2	1	0.000000
Clonal_evolution_10738638.dat	0.000005000000	0.000600000000	3	2	0.500000
Clonal_evolution_10740896.dat	0.000030000000	0.006000000000	7	6	0.833333
Clonal_evolution_10742112.dat	0.000050000000	0.000700000000	5	4	0.750000
Clonal_evolution_1074250.dat	0.000008000000	0.010000000000	1	1	0.000000
Clonal_evolution_10744990.dat	0.000000900000	0.009000	1	1	0.000000
Clonal_evolution_10746515.dat	0.000000800000	0.000500000000	1	1	0.000000
Clonal_evolution_10747015.dat	0.000020000000	0.000100000000	4	2	0.500000
Clonal_evolution_10747133.dat	0.000070000000	0.000400000000	7	4	0.750000
Clonal_evolution_10747555.dat	0.000010000000	0.000300000000	6	4	0.750000
Clonal_evolution_10747773.dat	0.000005000000	0.000300000000	3	2	0.500000
Clonal_evolution_10752896.dat	0.000000500000	0.000900000000	1	1	0.000000
Clonal_evolution_10754365.dat	0.000000600000	0.000400000000	2	1	0.000000
Clonal_evolution_10754475.dat	0.000000800000	0.006000	1	1	0.000000
Clonal_evolution_10756173.dat	0.000000200000	0.000400000000	1	1	0.000000
Clonal_evolution_10758707.dat	0.000000300000	0.000200000000	1	1	0.000000
Clonal_evolution_1076116.dat	0.000050000000	0.500000000000	1	1	0.000000
Clonal_evolution_10761162.dat	0.000000100000	0.000700000000	1	1	0.000000
Clonal_evolution_10764241.dat	0.000020000000	0.006000000000	2	1	0.000000
Clonal_evolution_10770552.dat	0.000000600000	0.000600000000	1	1	0.000000
Clonal_evolution_10771010.dat	0.000050000000	0.003000000000	6	5	0.800000
Clonal_evolution_10772610.dat	0.000005000000	0.000500000000	5	4	0.750000
Clonal_evolution_10773366.dat	0.000000200000	0.000600000000	1	1	0.000000
Clonal_evolution_10776586.dat	0.000040000000	0.010000000000	2	1	0.000000
Clonal_evolution_10778499.dat	0.000000300000	0.004000000000	1	1	0.000000
Clonal_evolution_10779161.dat	0.000001000000	0.003000	1	1	0.000000
Clonal_evolution_1077966.dat	0.000006000000	0.005000000000	1	1	0.000000
Clonal_evolution_10779981.dat	0.000060000000	0.900000000000	1	1	0.000000
Clonal_evolution_10786116.dat	0.000600000000	0.010000000000	8	7	0.857143
Clonal_evolution_10786135.dat	0.000006000000	0.000200000000	3	2	0.500000
Clonal_evolution_10786380.dat	0.000020000000	0.006000000000	4	3	0.666667
Clonal_evolution_10793796.dat	0.000004000000	0.001000000000	2	1	0.000000
Clonal_evolution_10796552.dat	0.000000300000	0.009000000000	1	1	0.000000
Clonal_evolution_10797565.dat	0.000000300000	0.006000	1	1	0.000000
Clonal_evolution_107977.dat	0.000008000000	0.050000000000	1	1	0.000000
Clonal_evolution_10798469.dat	0.000000100000	0.000100000000	1	1	0.000000
